ID_Number,Displacement
1126,13.7226
1130,14.3596
1131,15.4498
1134,16.4455
1138,14.4462
1146,14.7285
1154,13.9417
1168,16.3277
1170,14.9409
1173,15.8669
1175,14.5733
1176,16.445
1181,14.9078
1183,15.8568
1190,16.0274
1191,15.6597
1192,13.714
1193,14.4525
1194,15.5685
1197,16.6853
1198,16.6976
1199,15.9536
1203,16.3328
1204,14.1354
1208,13.2063
1209,15.339
1212,13.5088
1213,15.1627
1215,14.0449
1217,14.282
1219,15.8332
1221,12.5369
1223,16.2836
1224,13.3099
1225,14.8959
1226,16.497
1227,15.7766
1228,14.7759
1233,14.8018
1234,13.6777
1240,14.8794
1242,15.1975
1243,15.3073
1246,14.6512
1248,13.5006
1250,12.0011
1251,16.2168
1253,14.1712
1256,15.3426
1257,14.5895
1258,14.9936
1261,14.8692
1265,15.3099
1266,16.1622
1270,15.9142
1272,13.8309
1273,16.1083
1274,15.9917
1275,15.2571
1277,16.3978
1278,16.0904
1279,16.3055
1281,15.9419
1282,16.0135
1283,15.9064
1286,16.6806
1288,15.55
1289,16.2172
1290,15.6263
1291,16.1543
1293,14.9958
1295,16.2376
1296,14.6651
1298,14.3154
1299,15.4173
1300,14.804
1301,15.8112
1302,15.23
1303,15.513
1304,15.1557
1306,15.9524
1307,16.1701
1308,16.2218
1310,17.0172
1311,16.0466
1315,17.2744
1316,15.5719
1318,16.4422
1326,17.7365
1327,15.254
1328,16.0052
1329,16.083
1331,16.0339
1332,14.9411
1333,15.4807
1334,13.1998
1335,15.2945
1336,14.3678
1337,16.8675
1338,15.7962
1339,15.8891
1340,16.3712
1342,15.8207
1344,14.9721
1345,13.9185
1348,16.1624
1349,14.9492
1351,14.712
1353,15.7191
1357,16.223
1358,15.647
1360,15.2624
1361,16.2572
1363,12.8255
1364,14.1055
1365,16.0275
1369,15.5914
1370,15.1756
1372,14.3608
1374,16.1194
1376,12.2801
1379,10.9122
1381,15.2798
1382,15.5272
1383,16.533
1387,16.5365
1389,15.4501
1390,14.4716
1391,16.189
1393,12.8351
1394,13.6393
1395,15.0914
1396,15.3629
1397,16.7414
1398,14.3736
1399,16.345
1402,13.1758
1403,15.7926
1404,16.0021
1406,14.5416
1408,15.391
1410,14.947
1411,15.7878
1412,16.7671
1415,15.2514
1418,14.6678
1419,14.193
1420,14.261
1421,15.3479
1423,15.0859
1424,16.1156
1428,16.1883
1431,16.152
1433,14.5185
1434,15.6077
1436,14.322
1437,17.0531
1440,14.2232
1442,13.3055
1443,16.6699
1446,16.668
1448,16.8975
1449,14.4762
1450,15.415
1456,15.6252
1458,13.9424
1463,15.0166
1466,14.5835
1468,15.8981
1470,14.3032
1471,13.9598
1473,17.3788
1475,13.9698
1477,15.5676
1478,14.9692
1479,13.1836
1481,16.015
1482,14.9524
1485,16.9167
1487,14.3892
1490,16.5594
1491,15.9722
1493,13.8537
1494,16.4873
1495,14.8594
1497,15.8161
1498,16.3192
1499,15.8846
1502,16.8645
1505,15.7697
1506,16.1624
1508,16.423
1510,16.6929
1511,14.8101
1512,15.1736
1514,17.1732
1516,14.5285
1519,15.5611
1522,14.0531
1523,15.8816
1524,14.2735
1527,16.1719
1528,15.0187
1532,14.2199
1535,15.8373
1536,14.4667
1537,17.1509
1541,16.4715
1544,16.5689
1546,17.0215
1550,16.9745
1553,11.6704
1558,13.7583
1565,13.918
1566,16.6094
1567,13.4402
1577,14.8087
1585,14.5813
1592,14.7082
1593,16.2711
1595,16.5696
1606,14.7205
1607,16.6136
1612,16.5306
1614,14.2373
1615,16.2028
1616,16.638
1618,16.5828
1619,14.6981
1620,16.4657
1621,16.4425
1623,16.3904
1624,14.6381
1625,16.3737
1626,16.3875
1628,16.6101
1629,14.443
1630,16.2429
1633,16.4626
1635,16.0835
1636,16.5472
1638,16.4004
1639,14.4202
1640,16.0311
1641,16.5682
1643,16.4938
1645,16.3414
1646,16.403
1648,16.6491
1649,14.5656
1650,16.2777
1651,16.3253
1655,16.4158
1656,16.811
1658,16.3132
1660,16.1959
1661,15.8358
1663,16.7263
1665,16.0618
1666,16.1303
1668,13.3227
1669,14.4541
1670,16.213
1671,15.989
1673,16.593
1675,16.2087
1676,16.4525
1678,16.0369
1679,14.3908
1680,16.2344
1681,15.89
1683,16.2949
1684,14.6664
1685,16.2108
1686,16.0357
1688,16.5386
1689,14.6466
1690,16.2136
1691,16.0014
1694,14.5048
1695,16.2602
1698,16.4665
1699,16.3821
1700,14.3933
1701,16.206
1703,16.4779
1704,15.9188
1706,16.2808
1708,16.4415
1709,16.538
1711,15.9771
1712,16.8524
1713,16.4606
1714,16.5659
1716,16.1614
1717,16.5558
1718,16.8284
1719,15.911
1721,16.0045
1723,16.8252
1724,15.6874
1726,16.0918
1728,16.6579
1729,15.92
1731,16.3276
1733,16.5897
1734,15.9699
1736,16.1456
1738,16.7177
1739,16.1224
1741,16.0923
1743,16.5624
1744,15.5672
1746,16.0038
1747,16.5488
1748,15.534
1751,16.761
1752,16.5486
1754,16.057
1755,16.8012
1756,15.9653
1758,16.0835
1762,15.9046
1763,16.8342
1765,16.2141
1768,15.9435
1769,16.5566
1771,16.1227
1772,16.565
1774,15.8424
1775,16.1856
1778,15.9494
1779,15.9763
1780,16.5399
1783,16.3043
1791,16.6011
1792,16.5644
1793,16.0636
1796,16.4845
1797,16.4818
1798,15.9746
1799,16.0569
1800,16.6079
1802,15.9679
1803,16.0389
1804,16.3328
1805,16.4833
1807,15.8844
1808,15.9067
1809,16.245
1810,16.4609
1812,17.46
1813,16.6603
1814,16.5435
1816,16.0456
1817,15.9956
1818,16.5481
1819,14.4466
1820,15.8907
1821,16.7759
1822,16.779
1824,15.655
1826,16.4325
1827,16.4964
1828,14.8978
1829,16.3122
1831,16.2376
1833,15.9072
1834,16.5495
1835,16.1718
1837,15.8937
1838,16.6549
1843,16.1698
1844,15.884
1845,16.3297
1847,16.1427
1848,16.3564
1849,16.1885
1851,16.4409
1852,16.3809
1853,15.8825
1855,16.465
1856,16.423
1858,15.9346
1859,16.4342
1860,16.5005
1864,16.3532
1865,16.3058
1866,16.6241
1869,16.5157
1870,16.4759
1872,16.4965
1873,16.4515
1875,16.4945
1876,16.2881
1878,16.5026
1879,16.3269
1881,16.5147
1882,16.3946
1884,16.7233
1885,16.3516
1887,16.4786
1888,16.479
1890,16.6235
1893,16.5649
1895,16.5093
1897,16.604
1899,16.4489
1902,16.7215
1904,16.5064
1905,16.518
1906,17.8898
1908,16.9828
1909,16.4937
1913,16.4925
1915,16.3748
1916,16.6993
1918,16.3152
1919,16.3158
1922,16.5255
1925,16.3528
1928,16.2053
1931,16.3895
1932,15.8357
1935,13.1504
1936,16.4
1937,15.9931
1940,14.6447
1941,16.2575
1942,15.7911
1945,11.4218
1946,16.3348
1947,15.7108
1951,16.3421
1952,16.2049
1955,14.6275
1956,16.3577
1957,15.7364
1961,16.3708
1962,15.7705
1965,11.9825
1966,16.7363
1967,16.0754
1970,12.3739
1971,16.5362
1972,16.325
1976,13.3005
1977,16.2295
1980,11.8339
1981,16.3571
1990,14.4127
1991,16.2428
1992,15.9223
1996,16.3686
2001,16.3153
2005,12.7469
