ID_Number,c4_base,c8_base,c4_top,c8_top,twist_linear,twist_amplitude,twist_period,perimeter_ratio,height,mass,thickness,material
61,0.142200023069115,0.848600299898494,0.711000115345575,0.564200253760264,5.49778714378214,0,0,1,19,3.3,0.945992432060544,Armadillo
66,0.268864441806406,-0.641514077591458,0.358485922408542,-0.462271116387187,1.96349540849362,0,0,1,19,3.3,0.692520775623269,NinjaFlex
68,0.0896214806021354,0.702808131440574,0.358485922408542,0.702808131440574,1.17809724509617,0,0,1,19,3.3,0.692520775623269,NinjaFlex
69,1.13760018455292,0.564200253760264,0.142200023069115,-0.573399930792655,0.785398163397448,0,0,1,19,3.3,0.945992432060544,Armadillo
72,0.0448724159654254,0.907077678530582,0.112181039913563,0.97438630247872,3.92699081698724,0,0,1,19,3.3,0.497377464279255,NinjaFlex
74,0.0374725635122039,-0.775164618926777,0,-0.962527436487796,3.53429173528852,0,0,1,19,3.3,0.530171582803162,Armadillo
76,0,-0.887818960086436,0.0897448319308507,-0.842946544121011,3.53429173528852,0,0,1,19,3.3,0.497377464279255,NinjaFlex
78,0.178370163941499,-0.583802950803169,0,-0.940543278686167,0.392699081698724,0,0,1,19,3.3,0.598086124401914,Cheetah
81,0.358485922408542,-0.462271116387187,0.716971844817084,0.79242961204271,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
82,0.059456721313833,0.724244918101159,0.118913442627666,0.724244918101159,1.5707963267949,0,0,1,19,3.3,0.598086124401914,Cheetah
133,0.178370163941499,0.843158360728825,0.059456721313833,0.664788196787326,2.35619449019234,0,0,1,19,3.3,0.598086124401914,Cheetah
167,0.268864441806406,-0.641514077591458,0.0896214806021354,-0.551892596989323,4.71238898038469,0,0,1,19,3.3,0.692520775623269,NinjaFlex
170,0.134617247896276,0.951950094496008,0.0224362079827127,0.884641470547869,3.14159265358979,0,0,1,19,3.3,0.497377464279255,NinjaFlex
181,0.716971844817084,0.882051092644845,0.268864441806406,0.79242961204271,5.10508806208341,0,0,1,19,3.3,0.692520775623269,NinjaFlex
212,1.13760018455292,0.706400276829379,0.711000115345575,0.848600299898494,0.392699081698724,0,0,1,19,3.3,0.945992432060544,Armadillo
223,0,-0.910378519397865,0.448107403010677,-0.462271116387187,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
227,0,-0.910378519397865,0.179242961204271,-0.731135558193594,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
238,0,-0.977563792017287,0,-0.977563792017287,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
241,0,0.523565170236303,0,0.971672573246981,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
245,0,0.523565170236303,0.896214806021354,0.882051092644845,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
247,0,-0.943516114751859,0,-0.943516114751859,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
252,0,-0.462271116387187,0,-0.910378519397865,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
253,0,-0.462271116387187,0,-0.910378519397865,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
258,0.157053455878989,0.97438630247872,0.157053455878989,0.97438630247872,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
261,0.448107403010677,-0.462271116387187,0,-0.910378519397865,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
265,0,-0.910378519397865,0.448107403010677,-0.462271116387187,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
271,0,-0.857799976930885,0.426600069207345,-0.43119990772354,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
275,0,-0.857799976930885,0.995400161483804,0.848600299898494,0,0,0,1,19,3.3,0.945992432060544,Armadillo
277,0,-0.962527436487796,0.112417690536612,0.986045866146804,0,0,0,1,19,3.3,0.530171582803162,Armadillo
288,0,-0.857799976930885,0.853200138414689,-0.00459983851619539,0,0,0,1,19,3.3,0.945992432060544,Armadillo
289,0.896214806021354,0.882051092644845,0.627350364214948,0.79242961204271,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
307,0,-0.857799976930885,0.142200023069115,-0.71559995386177,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
311,0,0.990800322967609,1.13760018455292,0.279800207622035,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
313,0,0.990800322967609,0.426600069207345,-0.43119990772354,0,0,0,1,19,3.3,0.945992432060544,Armadillo
320,0,-0.857799976930885,0.56880009227646,0.848600299898494,0,0,0,1,19,3.3,0.945992432060544,Armadillo
321,0,0.971672573246981,0.716971844817084,0.79242961204271,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
335,1.13760018455292,0.279800207622035,0.142200023069115,0.990800322967609,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
345,0.338903311488848,-0.60461280326301,0,-0.943516114751859,0,0,0,1,19,3.3,0.581272458254069,Cheetah
363,1.13760018455292,0.279800207622035,0.995400161483804,0.848600299898494,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
369,0.39538719673699,0.976935983684949,0.451871081985131,0.920452098436808,0,0,0,1,19,3.3,0.581272458254069,Cheetah
375,0.995400161483804,0.848600299898494,0,0.279800207622035,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
376,0,0.761210485073581,0.149890254048815,0.986045866146804,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
378,0.338903311488848,-0.60461280326301,0,-0.943516114751859,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
379,0,-0.857799976930885,0,-0.857799976930885,0,0,0,1,19,3.3,0.945992432060544,Armadillo
380,0,-0.288999884654425,0,0.279800207622035,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
